Date,Buy and Hold,A2C,A2C + GP,Buy and Hold Drawdown,A2C Drawdown,A2C + GP Drawdown
2015-01-12,179.685043,967.3601120000008,967.3601120000008,0.0,0.0,0.0
2015-01-13,179.179642,945.2122120000008,945.2122120000008,-0.0028127048949756484,-0.022895196654542094,-0.022895196654542094
2015-01-14,178.0979,936.0747680000005,936.0747680000005,-0.00883291660508434,-0.032340948951594006,-0.032340948951594006
2015-01-15,176.466446,943.1483160000007,943.1483160000007,-0.017912436929989894,-0.025028730975833358,-0.025028730975833358
2015-01-16,178.78064,940.5936320000003,940.5936320000003,-0.005033268127943247,-0.027669613071662824,-0.027669613071662824
2015-01-20,179.161957,948.7438320000006,955.0638400000005,-0.0029111271103405834,-0.019244415568790973,-0.012711162934533227
2015-01-21,180.066345,972.4368280000001,989.467836,0.0,0.0,0.0
2015-01-22,182.744095,967.7010440000004,980.7241760000005,0.0,-0.00487001711950763,-0.00883672988840789
2015-01-23,181.742126,978.2831960000003,981.1687600000005,-0.005482907669328352,0.0,-0.008387413615736361
2015-01-26,182.167694,940.7571320000002,968.7972960000002,-0.0031541429560281165,-0.03835910107976559,-0.02089056283381796
2015-01-27,179.764816,929.2126400000002,948.0313080000003,-0.01630301104941312,-0.05015986802251082,-0.04187758964203436
2015-01-28,177.459442,935.8956880000002,961.2758800000001,-0.028918324282926844,-0.04332846375498833,-0.02849203882560558
2015-01-29,179.099823,913.4469639999995,947.7387120000003,-0.019941941215665504,-0.06627552457724195,-0.0421733001132133
2015-01-30,176.847672,941.0082319999997,978.9389639999999,-0.032266011112424775,-0.03810242693773169,-0.010640944169103883
2015-02-02,179.03775,964.7177719999999,1013.0050120000001,-0.02028161292981856,-0.013866561395991184,0.0
2015-02-03,181.626877,958.6246919999996,1004.1453919999999,-0.0061135655299832115,-0.02009490102700351,-0.008745879729171735
2015-02-04,180.935242,981.0508919999997,1013.71796,-0.009898284264670765,0.0,0.0
2015-02-05,182.76181,977.0044559999999,999.5764159999994,0.0,-0.004124593365131823,-0.013950176043049045
2015-02-06,182.256409,967.775452,987.9244059999996,-0.0027653534400868818,-0.013531856612388427,-0.025444507267090688
2015-02-09,181.440659,979.5189759999998,995.8020559999995,-0.007228813284350766,-0.001561505129338281,-0.017673460180187006
2015-02-10,183.373596,983.7845999999995,993.7749719999997,0.0,0.0,-0.019673113022482314
2015-02-11,183.480026,1007.8960599999996,1006.5826209999991,0.0,0.0,-0.007038781279953721
2015-02-12,185.244492,1014.2065959999996,1015.9433249999993,0.0,0.0,0.0
2015-02-13,186.007034,1013.7076319999995,1019.4549209999991,0.0,-0.0004919747139962016,0.0
2015-02-17,186.299667,1019.4184480000004,1017.7873289999987,0.0,0.0,-0.0016357682577711197
2015-02-18,186.317368,1015.0110240000008,1014.4436329999988,0.0,-0.0043234689431473905,-0.004915654333282893
2015-02-19,186.184402,1021.3772440000007,1040.0324929999986,-0.0007136532757374692,0.0,0.0
