Date,Buy and Hold,A2C,A2C + GP,Buy and Hold Drawdown,A2C Drawdown,A2C + GP Drawdown
2015-01-12,42.568352,944.109931,944.109931,0.0,0.0,0.0
2015-01-13,42.092327,909.7679439999999,909.7679439999999,-0.011182603451503126,-0.036374987564875005,-0.036374987564875005
2015-01-14,41.598675,904.6729640000003,904.6729640000003,-0.022779293875412332,-0.0417715836949496,-0.0417715836949496
2015-01-15,41.519337,948.2893440000007,948.2893440000007,-0.02464307286314482,0.0,0.0
2015-01-16,42.180477,953.19406,953.19406,-0.009111816215013335,0.0,0.0
2015-01-20,42.251003,979.5542750000004,979.5542750000004,-0.007455045476038147,0.0,0.0
2015-01-21,42.665314,1013.598804,1013.598804,0.0,0.0,0.0
2015-01-22,43.203041,972.0513240000005,972.0513240000005,0.0,-0.04099006415165374,-0.04099006415165374
2015-01-23,42.533081,983.2892000000004,983.2892000000004,-0.015507241724025733,-0.02990295951454136,-0.02990295951454136
2015-01-26,42.718208,965.2042390000001,965.2042390000001,-0.011222196141239316,-0.04774528621089402,-0.04774528621089402
2015-01-27,42.427307,920.1294020000003,920.1294020000003,-0.017955541601805347,-0.09221538307971378,-0.09221538307971378
2015-01-28,41.660393,951.8152020000007,951.8152020000007,-0.0357069309079423,-0.0609546911028116,-0.0609546911028116
2015-01-29,42.206932,941.8902610000007,941.8902610000007,-0.02305645567866388,-0.07074647554536706,-0.07074647554536706
2015-01-30,42.039433,963.1165700000004,963.1165700000004,-0.026933474428339377,-0.0498049462970751,-0.0498049462970751
2015-02-02,42.418491,1014.7129150000003,1014.7129150000003,-0.018159601311398377,0.0,0.0
2015-02-03,43.35289,999.2186250000002,999.2186250000002,0.0,-0.015269629242868232,-0.015269629242868232
2015-02-04,43.070812,1054.3685600000001,1054.3685600000001,-0.006506555848987405,0.0,0.0
2015-02-05,44.110996,1048.9021700000003,1048.9021700000003,0.0,-0.005184515365291076,-0.005184515365291076
2015-02-06,44.005215,1045.9418389999998,1045.9418389999998,-0.0023980641924294943,-0.007992196770359228,-0.007992196770359228
2015-02-09,43.952324,1062.5258460000002,1062.5258460000002,-0.0035971076236864796,0.0,0.0
2015-02-10,44.278481,1058.949892,1058.949892,0.0,-0.003365521896208201,-0.003365521896208201
2015-02-11,44.207962,1095.537285,1095.537285,-0.0015926246431081648,0.0,0.0
2015-02-12,44.966072,1113.4417360000002,1113.4417360000002,0.0,0.0,0.0
2015-02-13,45.345123,1115.6376120000004,1115.9276130000003,0.0,0.0,0.0
2015-02-17,45.398014,1121.0241030000004,1121.7275070000005,0.0,0.0,0.0
2015-02-18,45.521416,1126.3078670000002,1127.5281060000002,0.0,0.0,0.0
2015-02-19,45.644833,1131.8758990000003,1133.7428220000006,0.0,0.0,0.0
2015-02-20,45.777061,1129.4912840000002,1131.2566160000001,0.0,-0.0021067813194952656,-0.002192918845223324
2015-02-23,45.724163,1137.5568880000003,1140.2919350000002,-0.0011555569283927536,0.0,0.0
2015-02-24,45.918106,1132.255501,1134.209401,0.0,-0.004660326930392755,-0.0053341901431585015
2015-02-25,45.785877,1120.9393,1120.8277710000002,-0.002879670167580617,-0.014608137997578763,-0.017069456866762756
2015-02-26,45.494972,1116.873838,1116.021842,-0.009214970669739864,-0.018181991791517582,-0.02128410475866438
2015-02-27,45.389191,1127.9430800000002,1129.1891030000004,-0.01151865889242043,-0.008451276680239372,-0.009736832875170465
2015-03-02,45.688908,1118.9007770000005,1118.3290670000006,-0.004991451520234835,-0.01640015650804072,-0.01926074132936806
2015-03-03,45.442089,1113.0784400000007,1111.3473230000004,-0.010366651446817032,-0.021518438557421526,-0.025383510232403594
2015-03-04,45.283413,1106.6409580000004,1102.8144910000005,-0.013822281781395773,-0.027177480375820906,-0.032866534305532547
2015-03-05,45.089485,1086.4204910000005,1076.5115340000004,-0.018045626707686946,-0.04495282613066098,-0.05593339656480145
2015-03-06,44.481236,1088.4266580000003,1079.1347210000004,-0.03129201365578971,-0.04318925103286786,-0.05363294444417854
2015-03-09,44.542938,1067.0760850000004,1050.9964680000003,-0.02994827356337393,-0.06195804688406925,-0.07830930331012109
2015-03-10,43.86417,1065.5867090000004,1048.978262,-0.04473041636342756,-0.06326732294376458,-0.08007920620783848
2015-03-11,43.811287,1081.4125490000004,1070.2693820000004,-0.04588209714050495,-0.04935519233566443,-0.06140756665090308
2015-03-12,44.357815,1069.4018930000004,1056.367448,-0.03397986406495079,-0.05991348276201536,-0.07359912354374432
2015-03-13,43.934689,1067.7273640000003,1054.6224000000002,-0.04319466051147669,-0.061385522549796234,-0.07512947550576154
2015-03-16,43.86417,1054.8369820000003,1041.2471890000002,-0.04473041636342756,-0.07271715979447357,-0.08685911296917137
2015-03-17,43.379341,1071.0364420000005,1058.107782,-0.05528897468027116,-0.05847658846930537,-0.07207290561079005
2015-03-18,44.040474,1052.6938930000003,1039.0071310000003,-0.040890885177189085,-0.07460109986165364,-0.08882357306157729
2015-03-19,43.282372,1068.1232230000003,1045.7852320000002,-0.05740075603292516,-0.06103753204121076,-0.0828793926355359
2015-03-20,43.561096,1068.0632210000003,1045.7252300000002,-0.0513307321517138,-0.061090278414278276,-0.08293201249380044
2015-03-23,43.561096,1058.3548230000006,1039.6490500000002,-0.0513307321517138,-0.06962470697992884,-0.08826063037971055
2015-03-24,43.419525,1025.9014670000006,1006.2223600000004,-0.05441385147723643,-0.09815370306122195,-0.11757478140893785
2015-03-25,42.932858,1032.2431800000006,1012.7587510000003,-0.06501243757745578,-0.09257884955991724,-0.11184257301618106
2015-03-26,43.030197,1031.2052450000006,1012.855433,-0.06289259840116224,-0.09349127425792503,-0.1117577859568043
2015-03-27,43.012501,1068.8049850000004,1043.1272009999998,-0.06327798015013952,-0.06043821080533063,-0.08521040184327922
2015-03-30,43.596497,1041.3159310000003,1022.5754109999996,-0.050559772652643886,-0.08460320359820106,-0.10323367234900294
2015-03-31,43.162918,1049.0805000000003,1028.3578679999998,-0.06000221350593171,-0.077777550233602,-0.09816264025405064
2015-04-01,43.2868,1051.5540620000006,1030.1234140000001,-0.057304323484074104,-0.07560309898101525,-0.09661431219365768
2015-04-02,43.331051,1072.1537580000004,1045.2018779999999,-0.056340629554711974,-0.057494381766690084,-0.08339097566273701
2015-04-06,43.676128,1067.8266600000002,1042.0073399999997,-0.0488255765601483,-0.0612982337284218,-0.08619248455879025
2015-04-07,43.605343,1075.2252850000004,1047.423965,-0.05036712533395871,-0.05479427328648889,-0.08144227556954542
2015-04-08,43.729218,1082.200438,1052.4170059999997,-0.04766938775741314,-0.04866257730400225,-0.07706353636536112
2015-04-09,43.8531,1089.171712,1057.4061679999998,-0.04497149773555564,-0.042534291260869383,-0.07268819892162126
2015-04-10,43.976982,1079.2815039999998,1050.3474479999995,-0.042273607713698036,-0.051228544800478115,-0.07887847334463582
2015-04-13,43.800014,1089.1914970000005,1057.284353,-0.04612759942668376,-0.04251689872410125,-0.0727950268279326
2015-04-14,43.985832,1111.7564320000001,1073.0537519999998,-0.04208087328340593,-0.022680585271969367,-0.05896576213178284
2015-04-15,44.410553,1106.718418,1069.5728739999997,-0.032831341083623955,-0.027109387077967728,-0.06201838216105637
2015-04-16,44.313232,1085.7321820000002,1055.0993259999996,-0.034950788257686494,-0.045557902683105334,-0.074711226472018
2015-04-17,43.906189,1101.6978250000002,1065.968297,-0.0438153307107223,-0.03152287448502544,-0.06517948230511716
2015-04-20,44.224731,1085.8285750000002,1055.3372069999998,-0.03687815433850872,-0.04547316582201566,-0.07450261235075772
2015-04-21,43.897346,1090.18439,1058.2772459999999,-0.044007912695702256,-0.04164406940850973,-0.07192429103692666
2015-04-22,43.985832,1095.6355900000003,1061.888046,-0.04208087328340593,-0.03685204532821573,-0.06875773351847847
2015-04-23,44.100857,1112.9321080000002,1073.238516,-0.03957587013715247,-0.021647075640581104,-0.05880372994131566
2015-04-24,44.472485,1130.552069,1084.628925,-0.03148259207381077,-0.006157774678254402,-0.0488147011230069
2015-04-27,44.861832,1133.259143,1086.3450389999998,-0.023003431369752136,-0.0037780484170391038,-0.04730972336483319
2015-04-28,44.923767,1131.8511170000002,1085.361749,-0.021654617026233725,-0.005015811569680451,-0.048172037628241515
2015-04-29,44.897221,1119.8156700000004,1077.8567019999998,-0.022232733205502897,-0.015595895191836684,-0.05475372672876122
2015-04-30,44.614071,1150.141982,1096.432038,-0.028399146079762017,0.0,-0.038463743935889805
2015-05-01,45.348507,1145.3528210000004,1093.624989,-0.012404671046318927,-0.004163973731027282,-0.04092543722147812
2015-05-04,45.224625,1125.2937820000002,1081.7775659999998,-0.015102561068176423,-0.021604463091409842,-0.05131525287864147
2015-05-05,44.711399,1125.9189310000004,1069.3811609999996,-0.02627954646038755,-0.021060922372277746,-0.062186508404973195
2015-05-06,44.720249,1132.8164670000003,1082.1188569999997,-0.02608681203009544,-0.01506380540067942,-0.051015951454572495
2015-05-07,44.914921,1159.1149940000005,1129.918894,-0.021847264344918793,0.0,-0.009096829225579195
2015-05-08,45.631638,1151.6804290000002,1116.1138589999996,-0.0062386719521924094,-0.006414001232392219,-0.0212034087568993
2015-05-11,45.419289,1135.3067970000002,1085.4056869999997,-0.010863187606213631,-0.020539978451870722,-0.048133505390442366
2015-05-12,44.941471,1133.4211270000003,1081.9267769999997,-0.021269061054042693,-0.02216679719700021,-0.05118439954589393
2015-05-13,44.888363,1148.6173040000003,1111.1922039999997,-0.02242564185900886,-0.009056642399019932,-0.025519544694491247
2015-05-14,45.357338,1155.3961530000004,1124.6074730000003,-0.012212350396159644,-0.0032083451764925996,-0.013754777630694992
2015-05-15,45.578552,1149.0972210000004,1112.2031210000002,-0.007394773643320529,-0.00864260496314484,-0.024633002424944705
2015-05-18,45.375038,1142.6409210000002,1099.110521,-0.01182688153557554,-0.014212630399292658,-0.03611479897031822
2015-05-19,45.153828,1141.9911730000001,1097.664483,-0.016644371176807726,-0.014773185653398913,-0.037382928609418054
2015-05-20,45.127285,1146.2908730000004,1106.7424330000001,-0.017222422022371786,-0.011063717634904546,-0.029421853273039256
2015-05-21,45.28656,1144.8873650000003,1103.7461349999999,-0.013753746724658011,-0.012274562121659671,-0.03204951195239347
2015-05-22,45.233467,1130.5433840000003,1072.4129440000002,-0.014910000861098283,-0.024649504275155776,-0.059527730501750864
2015-05-26,44.66716,1152.6933290000002,1088.1427230000004,-0.027242979054928784,-0.00554014488056942,-0.04573321129382524
2015-05-27,44.959156,1160.5366200000003,1094.145262,-0.020883918861984485,0.0,-0.04046917423826224
2015-05-28,45.074203,1140.6986860000002,1078.979312,-0.01837843660189309,-0.0170937596092402,-0.053769233227103586
2015-05-29,44.782204,1142.0009930000006,1079.9987230000002,-0.0247375621285425,-0.015971600275741182,-0.05287524198792126
2015-06-01,44.799885,1151.2572550000004,1086.9896090000002,-0.02435250704809122,-0.007995753722963017,-0.0467444558397232
2015-06-02,44.941471,1154.2967640000002,1089.3213580000001,-0.021269061054042693,-0.005376698927432533,-0.04469958563725174
